perfil_id,inicio,fim,duracao,grau,instituicao,area
0,2016.0,2016.0,0.0,4.0,Stanford University,Gestão / Negócios
0,2007.0,2010.0,3.0,3.0,Universidade Federal de Minas Gerais,Economia / Finanças
1,2015.0,2015.0,0.0,4.0,Centro Universitário Newton Paiva,Gestão / Negócios
1,2009.0,2012.0,3.0,3.0,Universidade do Estado de Minas Gerais,Design / Arte
2,2016.0,2019.0,3.0,3.0,Universidade Federal de Minas Gerais,TI
2,2013.0,2015.0,2.0,2.0,Universidade Federal de Minas Gerais,TI
3,2014.0,2019.0,5.0,3.0,Centro Federal de Educação Tecnológica de Minas Gerais,Engenharia
4,2011.0,2016.0,5.0,3.0,Universidade Federal de Minas Gerais,Engenharia
4,2015.0,2015.0,0.0,3.0,California State University-Long Beach,Engenharia
5,2011.0,2011.0,0.0,4.0,Universidade FUMEC,Economia / Finanças
5,2006.0,2009.0,3.0,3.0,Centro Universitário de Belo Horizonte,Comunicação / Publicidade
6,1992.0,1998.0,6.0,4.0,Universidade Federal de Minas Gerais,TI
7,2016.0,2019.0,3.0,3.0,FEAD,Gestão / Negócios
8,2016.0,2016.0,0.0,4.0,Stanford University,Gestão / Negócios
8,2007.0,2009.0,2.0,3.0,Universidade Federal de Minas Gerais,Economia / Finanças
8,2007.0,2009.0,2.0,3.0,Universidade FUMEC,Direito
9,2013.0,2013.0,0.0,4.0,Centro Universitário de Belo Horizonte,Gestão / Negócios
9,2008.0,2012.0,4.0,3.0,Pontifícia Universidade Católica de Minas Gerais,Economia / Finanças
10,2008.0,2018.0,10.0,3.0,Pontifícia Universidade Católica de Minas Gerais,Engenharia
10,2005.0,2007.0,2.0,2.0,COTEMIG,TI
11,2013.0,2017.0,4.0,3.0,Universidade Federal de Minas Gerais,Comunicação / Publicidade
11,2002.0,2012.0,10.0,1.0,Colégio Santo Agostinho,Ensino Médio /Técnico
12,2013.0,2018.0,5.0,3.0,Universidade Federal de Minas Gerais,Engenharia
12,2002.0,2012.0,10.0,1.0,Colégio Santo Antônio,Não Informado
13,2015.0,2019.0,4.0,3.0,Universidade Federal de Minas Gerais,Comunicação / Publicidade
14,2008.0,2014.0,6.0,3.0,Universidade Federal de Minas Gerais,Engenharia
14,2015.0,2015.0,0.0,4.0,Business Training Company,Gestão / Negócios
15,1990.0,1994.0,4.0,3.0,Centro Universitário UNA,Gestão / Negócios
15,1990.0,1994.0,4.0,3.0,Centro Universitário UNA,Gestão / Negócios
16,2008.0,2013.0,5.0,3.0,Universidade Federal de Viçosa,Economia / Finanças
16,2013.0,2015.0,2.0,4.0,Fundação Getulio Vargas,Gestão / Negócios
16,2011.0,2011.0,0.0,3.0,University of West Florida,Economia / Finanças
17,2013.0,2017.0,4.0,3.0,Universidade do Estado de Minas Gerais,Design / Arte
17,2014.0,2015.0,1.0,3.0,University of Limerick,Design / Arte
18,2017.0,2019.0,2.0,4.0,Ibmec,Gestão / Negócios
18,2013.0,2017.0,4.0,3.0,Universidade Federal de Minas Gerais,Comunicação / Publicidade
