perfil_id,endorsement_count,name,agrupamento
0,+ de 99,Empresas startups,Empreendedorismo
0,+ de 99,Empreendedorismo,Empreendedorismo
0,97,Start-ups,Empreendedorismo
0,73,Entrepreneurship,Empreendedorismo
0,75,New Business Development,Negócios / Marketing
0,67,Affiliate Marketing,Negócios / Marketing
0,67,Startup Development,TI / Desenvolvedor
0,64,Online Advertising,Negócios / Marketing
0,71,Business Strategy,Negócios / Marketing
0,68,Comércio eletrônico,Negócios / Marketing
0,28,Growth Hacking,Negócios / Marketing
0,40,Affiliate Networks,Negócios / Marketing
0,36,SEO,TI / Desenvolvedor
0,42,Online Lead Generation,TI / Desenvolvedor
0,44,Business Intelligence,Negócios / Marketing
0,28,Stock Market Analysis,Negócios / Marketing
0,31,Trade Finance,Negócios / Marketing
0,37,Finance,Negócios / Marketing
0,31,Public Speaking,Oratória / Escrita
0,37,Google Analytics,Informática / Softwares
0,22,Adobe Fireworks,Informática / Softwares
0,24,Google Webmaster Tools,Informática / Softwares
0,37,Desenvolvimento de novos negócios,Negócios / Marketing
0,49,Marketing afiliado,Negócios / Marketing
0,65,Publicidade online,Negócios / Marketing
0,36,Marketing digital,Negócios / Marketing
0,34,Marketing online,Negócios / Marketing
0,25,Marketing,Negócios / Marketing
0,22,Planejamento estratégico,Gestão / Administração
0,25,SEO (Otimização de motores de busca),TI / Desenvolvedor
0,22,Gestão,Gestão / Administração
0,31,Estratégias de marketing,Negócios / Marketing
0,72,Estratégia empresarial,Gestão / Administração
1,45,Planejamento estratégico,Gestão / Administração
1,36,Gestão,Gestão / Administração
1,34,Gestão de projetos,Gestão / Administração
1,24,Liderança de equipe,Comportamento / Social
1,21,Estratégia empresarial,Gestão / Administração
1,18,Empreendedorismo,Empreendedorismo
1,15,Empresas startups,Empreendedorismo
1,12,Strategic Planning,Gestão / Administração
1,10,Design de interiores,Design / Artes
1,10,Start-ups,Empreendedorismo
1,10,Planejamento empresarial,Gestão / Administração
1,8,Interior Design,Design / Artes
1,8,Business Innovation,Negócios / Marketing
1,8,Sistemas operacionais,TI / Desenvolvedor
1,6,Management,Gestão / Administração
1,6,Business Planning,Negócios / Marketing
1,4,Pesquisa,Negócios / Marketing
